id,地点名,かな,都道府県,観測期間(開始),観測期間(終了),種別,未確定の理由,参考情報,precNo,blockNo
18037,羅臼,ラウス,北海道,1991-06-27,2005-10-31,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0084,,
21296,伊達,ダテ,北海道,1974-11-01,2007-12-19,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0132,,
22071,仁世宇,ニセウ,北海道,1976-05-27,1985-10-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1097,,
22211,笹山,ササヤマ,北海道,1974-11-01,1986-10-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0139,,
23126,森,モリ,北海道,1974-11-01,2002-03-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0145,,
23381,松前,マツマエ,北海道,1974-11-01,1977-10-14,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0152,,
24131,奥尻,オクシリ,北海道,1977-10-17,2000-01-24,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1199,,
31281,六ケ所,ロッカショ,青森県,1975-05-21,1982-09-21,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1027,,
31331,野辺地,ノヘジ,青森県,1974-11-01,2008-11-21,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0162,,
31376,五所川原,ゴショガワラ,青森県,1974-11-01,1975-06-27,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0164,,
31641,大鰐,オオワニ,青森県,1974-11-01,2010-12-06,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0174,,
31661,休屋,ヤスミヤ,青森県,1974-11-01,1982-10-14,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0177,,
32221,大潟,オオガタ,秋田県,1975-05-23,1977-03-28,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1035,,
33561,沢内,サワウチ,岩手県,1976-11-17,2017-07-10,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1118,,
33651,北上,キタカミ,岩手県,1974-11-01,1976-12-03,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0230,,
33686,小鎚,コヅチ,岩手県,2011-06-14,2021-12-07,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
34261,泉ケ岳,イズミガダケ,宮城県,1980-08-08,2005-10-26,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1365,,
35066,差首鍋,サスナベ,山形県,1974-11-01,1976-11-30,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0260,,
35271,月山,ガッサン,山形県,1974-11-01,1984-10-01,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0269,,
35321,月山,ガッサン,山形県,1985-06-28,2009-11-02,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0269,,
36006,茂庭,モニワ,福島県,1978-10-31,1992-10-22,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1293,,
36341,金山,カネヤマ,福島県,1975-05-24,2007-12-19,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1044,,
36551,田島,タジマ,福島県,1974-11-01,1976-11-12,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0303,,
36596,川前,カワマエ,福島県,1978-08-22,2014-12-03,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1274,,
36736,山王峠,サンノウトウゲ,栃木県,1974-11-01,2009-11-02,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
40242,筑波山,ツクバサン,茨城県,1976-02-28,1981-08-20,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 1082,,
40243,筑波山,ツクバサン,茨城県,1981-08-21,2001-12-06,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 1082,,
42301,伊勢崎,イセサキ,群馬県,1975-05-20,1998-07-21,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1021,,
43161,刈場坂,カバサカ,埼玉県,1974-11-01,2000-06-06,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
44076,練馬,ネリマ,東京都,1975-05-16,2012-12-25,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1002,,
44171,大島,オオシマ,東京都,1974-11-01,1991-12-18,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47675,,
45036,佐原,サワラ,茨城県,1974-11-01,1999-08-31,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
45056,我孫子,アビコ,千葉県,1974-11-01,2010-03-11,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0376,,
45101,船橋,フナバシ,千葉県,1978-01-10,1999-08-02,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1236,,
45281,木更津,キサラヅ,千葉県,1974-11-01,2006-09-21,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0382,,
48171,笠岳,カサダケ,長野県,1974-11-01,1978-07-15,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0398,,
48291,燕岳,ツバクロダケ,長野県,1974-11-01,1978-09-19,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0403,,
48292,燕岳,ツバクロダケ,長野県,1979-07-05,2009-05-20,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0403,,
48541,奈良井,ナライ,長野県,1974-11-01,2019-09-05,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
48596,御嶽山,オンタケサン,長野県,1974-11-01,1976-07-04,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0416,,
48721,摺古木山,スリコギヤマ,長野県,1974-11-01,1982-10-27,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0423,,
48761,摺古木山,スリコギヤマ,長野県,1983-06-17,2005-05-10,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0423,,
49171,上野原,ウエノハラ,山梨県,1977-07-01,2015-02-18,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1165,,
50316,高根山,タカネサン,静岡県,1974-11-01,2009-12-18,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0448,,
50341,土肥,トイ,静岡県,1975-05-13,1990-07-10,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0987,,
51076,茶臼山,チャウスヤマ,愛知県,1974-11-01,2005-12-08,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0462,,
51336,豊橋,トヨハシ,愛知県,1974-11-01,2005-12-06,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0470,,
52046,神岡,カミオカ,岐阜県,1974-11-01,1978-12-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0473,,
52191,船山,フナヤマ,岐阜県,1974-11-01,2002-10-08,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0480,,
52481,黒川,クロカワ,岐阜県,1978-11-22,1998-09-28,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1313,,
52561,中津川,ナカツガワ,岐阜県,1974-11-01,2010-03-24,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0494,,
52641,上石津,カミイシヅ,岐阜県,1975-05-29,2016-03-29,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1059,,
54386,寺泊,テラドマリ,新潟県,1974-11-01,2001-08-10,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0524,,
55161,上市,カミイチ,富山県,1974-11-01,1978-11-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0553,,
56226,金沢,カナザワ,石川県,1974-11-01,1991-10-23,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47605,,
56231,医王山,イオウゼン,石川県,1974-11-01,2003-07-29,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0570,,
57081,勝山,カツヤマ,福井県,1977-12-20,1993-10-18,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1226,,
60101,山東,サントウ,滋賀県,1974-11-01,2001-03-29,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
60181,大津,オオツ,滋賀県,1974-11-01,1977-11-22,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0586,,
61226,妙高山,ミョウコウサン,兵庫県,1974-11-01,1981-10-14,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
61271,園部,ソノベ,京都府,1974-11-01,2002-03-05,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0596,,
61336,鷲峰山,ジユブサン,京都府,1974-11-01,1979-12-01,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0599,,
61337,鷲峰山,ジュブサン,京都府,1980-07-19,2009-11-20,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0599,,
63031,温泉,オンセン,兵庫県,1974-11-01,2006-12-05,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0608,,
63076,村岡,ムラオカ,兵庫県,1975-05-07,2005-12-13,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
63081,八鹿,ヨウカ,兵庫県,1974-11-01,2005-07-04,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0611,,
63301,佐用,サヨウ,兵庫県,1974-11-01,1976-12-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0617,,
63501,明石,アカシ,兵庫県,1974-11-01,1991-12-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0625,,
63511,神戸,コウベ,兵庫県,1974-11-01,1995-01-28,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47770,,
63512,神戸,コウベ,兵庫県,1995-01-28,1999-09-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47770,,
63576,洲本,スモト,兵庫県,1974-11-01,2017-11-30,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47776,,
63587,南淡,ナンダン,兵庫県,1978-12-22,2004-01-30,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1337,,
64126,五條,ゴジョウ,奈良県,1974-11-01,2005-12-16,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0635,,
64156,天辻,テンツジ,和歌山県,1974-11-01,2009-11-20,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
64211,日出岳,ヒデガタケ,三重県,1974-11-01,2009-11-20,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
65126,護摩壇山,ゴマダンザン,和歌山県,1974-11-01,2010-03-25,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0646,,
65161,竜神,リュウジン,和歌山県,1976-05-06,1994-03-08,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
65286,白浜,シラハマ,和歌山県,1974-11-01,1978-02-27,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0650,,
65287,白浜,シラハマ,和歌山県,1978-02-28,2009-09-01,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0650,,
66216,新見,ニイミ,岡山県,1974-11-01,1978-12-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0658,,
66436,笠岡,カサオカ,岡山県,1975-04-18,1976-09-15,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0919,,
67031,道後山,ドウゴヤマ,広島県,1974-11-01,2005-11-29,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0671,,
68321,吾妻山,アヅマヤマ,広島県,1974-11-01,2009-11-20,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
68461,益田,マスダ,島根県,1974-11-01,1978-11-23,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0704,,
68476,聖山,ヒジリヤマ,広島県,1974-11-01,1978-11-01,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
69051,鳥取,トツトリ,鳥取県,1974-11-01,1977-10-31,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47746,,
69151,大山,ダイセン,鳥取県,1974-11-01,1981-11-05,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0716,,
71086,穴吹,アナブキ,徳島県,1975-05-02,2001-03-12,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0972,,
73136,新居浜,ニイハマ,愛媛県,1974-11-01,2016-08-24,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0734,,
73246,成就社,ジヨウジユシヤ,愛媛県,1974-11-01,1979-10-23,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0738,,
74236,鳥形山,トリガタヤマ,高知県,1974-11-01,2010-03-17,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0753,,
81141,篠生,シノブ,山口県,1980-11-15,2021-12-06,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1367,,
82246,九千部山,クセンブヤマ,佐賀県,1974-11-01,2010-03-02,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
82271,英彦山,ヒコサン,福岡県,1974-11-01,1988-09-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0789,,
82281,久留米,クルメ,福岡県,1974-11-01,1977-03-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0790,,
83046,中津,ナカツ,大分県,1974-11-01,2011-03-15,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0794,,
84181,松浦,マツウラ,長崎県,1974-11-01,1999-09-06,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0814,,
84182,松浦,マツウラ,長崎県,1999-09-07,2011-03-15,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0814,,
84226,国見山,クニミヤマ,佐賀県,1974-11-01,2009-11-20,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
84336,上五島,カミゴトウ,長崎県,1977-02-23,1999-12-21,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
84516,雲仙岳,ウンゼンダケ,長崎県,1974-11-01,2002-11-26,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47818,,
84521,島原,シマバラ,長崎県,1975-05-01,2006-03-15,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0962,,
85181,嬉野,ウレシノ,佐賀県,1974-11-01,1977-02-28,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0830,,
86156,阿蘇山,アソサン,熊本県,1974-11-01,2017-12-11,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 47821,,
86351,五木,イツキ,熊本県,1981-02-18,2012-03-07,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 1368,,
86476,多良木,タラキ,熊本県,1975-04-23,1977-03-22,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0925,,
87292,高鍋,タカナベ,宮崎県,1974-11-01,2017-03-09,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0859,,
87351,小林,コバヤシ,宮崎県,1974-11-01,2000-09-25,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0863,,
88106,宮之城,ミヤノジョウ,鹿児島県,1974-11-01,1976-04-01,アメダス,該当なし（etrn選択ページに同名地点が見当たらない）,,,
88146,川内,センダイ,鹿児島県,1974-11-01,1977-03-31,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0880,,
88391,吉ケ別府,ヨシガベップ,鹿児島県,1974-11-01,1976-11-04,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0888,,
88431,喜入,キイレ,鹿児島県,1974-11-01,1977-03-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0890,,
88441,鹿屋,カノヤ,鹿児島県,1975-04-24,1977-03-01,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0937,,
88501,甫与志岳,ホヨシダケ,鹿児島県,1974-11-01,1976-10-31,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0894,,
88502,甫与志岳,ホヨシダケ,鹿児島県,1976-11-01,2009-11-20,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 0894,,
88631,中種子,ナカタネ,鹿児島県,1974-11-01,2006-03-15,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 0897,,
91106,名護,ナゴ,沖縄県,1974-11-01,1987-06-30,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47940,,
91126,金武,キン,沖縄県,1977-03-04,2007-12-19,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 1064,,
91131,金武,キン,沖縄県,1975-05-30,1977-03-03,アメダス,同名の観測所が複数世代あり、どちらの番号か特定不可,候補: 1064,,
94061,西表島,イリオモテジマ,沖縄県,1978-04-23,2003-03-11,アメダス,現役観測所と同名（候補は現役側の番号の可能性が高い）,現役の番号: 47917,,
